노선,ds,yhat,yhat_lower,yhat_upper,target
동해선,2021-05-01,-9.202497136067688,-42.585589621953496,22.0852998645523,공실률
동해선,2021-06-01,-7.218667111199431,-41.17192113570402,24.36196986278343,공실률
동해선,2021-07-01,-6.688169689443474,-38.934817482085606,27.58728461601336,공실률
동해선,2021-08-01,-7.890082238694848,-39.16783755545525,22.492246139733535,공실률
동해선,2021-09-01,-6.670249668290737,-37.97165968450301,24.509030444094112,공실률
동해선,2021-10-01,-12.020761628687822,-45.418142967694564,22.649707758719554,공실률
동해선,2021-11-01,-17.967921525883252,-47.76097362140382,14.788098486645643,공실률
동해선,2021-12-01,-12.920089729608183,-46.270447239983184,18.953466900912705,공실률
동해선,2022-01-01,-1.35749893037117,-32.821537366907464,27.592208552568618,공실률
동해선,2022-02-01,-0.8654348440459145,-32.56702856613779,32.39055094444919,공실률
동해선,2022-03-01,6.744482419743792,-24.041926486368716,38.47825834394712,공실률
동해선,2022-04-01,-0.6242966640035954,-33.613374252805826,31.761392584788325,공실률
동해선,2022-05-01,-8.920321127151823,-39.53069210595534,24.171789129562537,공실률
동해선,2022-06-01,-6.792209038836201,-40.615566943328986,23.52419413693791,공실률
동해선,2022-07-01,-6.287034584389526,-37.57306716419098,27.31048324699955,공실률
동해선,2022-08-01,-7.519268852227408,-41.53631126281974,21.56237835329838,공실률
동해선,2022-09-01,-6.4045837995609,-39.708244083404324,24.400848803900313,공실률
동해선,2022-10-01,-11.866588159665291,-44.06622346233568,21.726984709574158,공실률
동해선,2022-11-01,-17.750083982622982,-49.683580088731695,11.980916370457644,공실률
동해선,2022-12-01,-12.661104294910128,-46.25706452872351,19.634792836291222,공실률
동해선,2023-01-01,-1.0088900508671328,-30.959307455875603,30.261102293706145,공실률
동해선,2023-02-01,-0.38041171037628185,-32.577381493776564,32.291388633799706,공실률
동해선,2023-03-01,6.867336287531199,-26.218444554391354,40.38022880051321,공실률
동해선,2023-04-01,-0.4984306402026739,-31.113412391896027,31.194054610079448,공실률
동해선,2023-05-01,-8.629756837242509,-42.377437394236026,24.603021581074497,공실률
동해선,2023-06-01,-6.362133692333657,-39.92876381736747,23.84238435988474,공실률
동해선,2023-07-01,-5.887465430959939,-37.660586598427074,25.809287170904113,공실률
동해선,2023-08-01,-7.152267630768881,-40.5581226354639,26.225131702235874,공실률
동해선,2023-09-01,-6.145041130914794,-35.99384333723864,25.80591495297112,공실률
동해선,2023-10-01,-11.712844697446076,-46.358977451395276,19.931640429060725,공실률
동해선,2023-11-01,-17.52660769897018,-50.67411567201482,14.243132976762809,공실률
동해선,2023-12-01,-12.396723677660514,-44.23450617389949,19.43732308260389,공실률
동해선,2024-01-01,-0.6592735270217434,-31.39561606230533,30.92151970491556,공실률
동해선,2024-02-01,0.10217708940098724,-32.38738005511014,34.186105541624826,공실률
동해선,2024-03-01,7.628929021079743,-25.610966834871004,38.7196716824522,공실률
동해선,2024-04-01,0.2837198667401939,-31.592724576118734,31.480098003987344,공실률
동해선,2024-05-01,-8.320015739468797,-39.54804747543626,22.772090672466827,공실률
동해선,2024-06-01,-6.484966992475908,-40.358461504642285,25.881362524813643,공실률
동해선,2024-07-01,-5.934330548733387,-37.361548520682895,26.725138610528912,공실률
동해선,2024-08-01,-7.108248594216126,-37.94057181836777,25.053420332615396,공실률
동해선,2024-09-01,-5.7857818954549725,-36.92606226783409,22.83569883165817,공실률
동해선,2024-10-01,-11.019310590055717,-44.05138538565341,22.09569361339304,공실률
동해선,2024-11-01,-17.023936134663103,-49.75177802038421,14.375053239097557,공실률
동해선,2024-12-01,-12.017261027402672,-43.99062828735673,18.646467704833796,공실률
동해선,2025-01-01,-0.5485480907317468,-32.76078192141826,33.457815136643326,공실률
동해선,2025-02-01,-0.19625661325460086,-31.620233294902572,31.89006467954317,공실률
동해선,2025-03-01,7.7693054057814654,-24.926348674637484,41.73014136992864,공실률
동해선,2025-04-01,0.4074281257059189,-30.611629588568274,34.332868895355446,공실률
동해선,2025-05-01,-8.046164475533232,-42.81871522043592,25.258899910002228,공실률
동해선,2025-06-01,-6.0623344862097825,-36.73648072627508,25.276766342352985,공실률
동해선,2025-07-01,-5.531837098848052,-36.42757376109282,27.078174587726362,공실률
동해선,2025-08-01,-6.733749684652979,-38.96201834069059,24.954700519489027,공실률
동해선,2025-09-01,-5.513917150799091,-37.65132113985754,25.42739506896219,공실률
동해선,2025-10-01,-10.864429146569103,-43.76691602891036,20.267517903328034,공실률
동해선,2025-11-01,-16.81158905209204,-46.829379652813124,18.162377796622838,공실률
동해선,2025-12-01,-11.763757263877924,-44.71262273632146,20.08432467795222,공실률
전라선,2012-10-01,3.3377397806660767,-15.874833997519323,21.228135578247148,공실률
전라선,2012-11-01,3.082088661529438,-14.358500988457749,21.362160161682258,공실률
전라선,2012-12-01,7.55606759189903,-10.656979501885214,28.187744863497837,공실률
전라선,2013-01-01,12.898174537640662,-4.569900187385431,31.16919122802908,공실률
전라선,2013-02-01,11.159426025868234,-7.381973699876678,28.992262144077845,공실률
전라선,2013-03-01,19.44364859721339,1.0551347797535846,36.25432245623944,공실률
전라선,2013-04-01,12.79315746229003,-4.856746771265282,30.255211393974,공실률
전라선,2013-05-01,4.5565350346434625,-13.632414451114002,22.584875098386153,공실률
